organization,employer_type,job_title,job_area,location,location_area,closing_date,closing_time,contract_type,work_pattern,salary,apply_url,job_reference,date_checked,source_url
Broxtowe Borough Council,Council,Single Trade Operator (Decorator),"Property, Facilities & Operations",Beeston,Broxtowe,2026-10-07,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/t156-single-trade-operative/,T156,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Broxtowe Borough Council,Council,Multi Trade Operative,"Property, Facilities & Operations",Beeston,Broxtowe,2026-10-08,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/t442-multi-trade-operative/,T442,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Bunny C of E Primary School,Education,KS1 Class Teacher,Education & Training,"Bunny C of E Primary School, Bunny",Rushcliffe,2026-09-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31151-KS-1-Class-teacher/en-GB,31151,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Croft Primary School,Education,Class Teacher,Education & Training,"Croft Primary School, Sutton in Ashfield, NG17 5FJ",Ashfield,2026-09-21,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31138-Class-Teacher/en-GB,31138,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Croft Primary School,Education,Midday Supervisor Assistant,Children & Young People,"Croft Primary School, Sutton in Ashfield, NG17 5FJ",Ashfield,2026-09-21,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31137-Midday-Supervisor-Assistant/en-GB,31137,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Croft Primary School,Education,Administrative Assistant,Administration & Business Support,"Croft Primary School, Sutton in Ashfield, NG17 5FJ",Ashfield,2026-09-28,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31136-Administrative-Assistant/en-GB,31136,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Edgewood Primary School,Education,Level 3 Teaching Assistant,Education & Training,"Edgewood Primary School, Hucknall",Ashfield,2026-09-28,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31122-Level-3-Teaching-Assistant/en-GB,31122,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Emmanuel House,VCSE,Sessional Night-Time Support Worker,Care & Support,Nottingham,Nottingham,2026-10-31,09:00,Bank/Casual/Sessional,Variable/Sessional,£13.48 per hour plus £1.01 night enhancement,https://www.nottinghamcvs.co.uk/news-and-events/jobs,,2026-09-21,https://www.nottinghamcvs.co.uk/news-and-events/jobs
Endeavour Academy,Education,Design & Technology - Lead Teacher,Education & Training,"Endeavour Academy, Daybrook",Gedling,2026-10-02,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31161-Design-Technology-Lead-Teacher/en-GB,31161,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Equation,VCSE,Freelance Intervention Project Educators,Education & Training,Nottinghamshire,Nottinghamshire-wide,2026-09-28,09:00,Freelance,Variable/Sessional,£14.34 up to £17.32 per hour,https://equation.org.uk/freelance-intervention-project-educators/,,2026-09-21,https://www.nottinghamcvs.co.uk/news-and-events/jobs
Fountaindale School,Education,Teaching Assistant,Education & Training,"Fountaindale School, Mansfield",Mansfield,2026-09-29,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31124-Teaching-Assistant/en-GB,31124,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Gedling Borough Council,Council,Finance Business Partner (Technical),Finance & Procurement,Gedling Borough Council,Gedling,2026-09-27,23:59,Other,Full-time,"£51,928 - £54,143 per annum",https://apps.gedling.gov.uk/jobs/,,2026-09-21,https://apps.gedling.gov.uk/jobs/
Gedling Borough Council,Council,Finance Officer – Procurement and Insurance,Finance & Procurement,Gedling Borough Council,Gedling,2026-09-27,23:59,Other,Full-time,"£31,525 - £33,673 per annum",https://apps.gedling.gov.uk/jobs/,,2026-09-21,https://apps.gedling.gov.uk/jobs/
Gedling Borough Council,Council,Principal Environmental Health Officer (Environmental Protection),"Planning, Environment & Regulatory",Gedling Borough Council,Gedling,2026-09-27,23:59,Other,Full-time,"£48,738 - £50,908",https://apps.gedling.gov.uk/jobs/default.aspx?jobid=575,,2026-09-21,https://apps.gedling.gov.uk/jobs/
Harmless,VCSE,Clinical Support Worker,Care & Support,Nottinghamshire,Nottinghamshire-wide,2026-09-22,23:45,Other,Part-time,"£25,387 - £26,964 per annum",https://www.nottinghamcvs.co.uk/news-and-events/jobs,,2026-09-21,https://www.nottinghamcvs.co.uk/news-and-events/jobs
High Oakham Primary School,Education,Assistant Headteacher,Education & Training,"High Oakham Primary School, Mansfield, NG18 4SH",Mansfield,2026-10-06,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31182-Assistant-Headteacher/en-GB,31182,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Holly Primary School,Education,Relief Midday Supervisor,Children & Young People,"Holly Primary School, Forest Town, Mansfield",Mansfield,2026-10-02,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31148-Relief-Midday-Supervisor/en-GB,31148,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Holly Primary School,Education,Teaching Assistant,Education & Training,"Holly Primary School, Forest Town, Mansfield",Mansfield,2026-10-09,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31168-Teaching-Assistant/en-GB,31168,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
John T Rice Infant & Nursery School,Education,Teacher,Education & Training,"John T Rice Infant & Nursery School, Forest Town, Mansfield",Mansfield,2026-09-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31132-Teacher/en-GB,31132,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Lambley Primary School,Education,Midday Supervisor - 2 posts available,Children & Young People,"Lambley Primary School, Lambley",Gedling,2026-10-02,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31146-Midday-Supervisor-2-posts-available/en-GB,31146,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Lambley Primary School,Education,Year 4 Class Teacher,Education & Training,"Lambley Primary School, Lambley, NG4 4QF",Gedling,2026-10-05,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31187-Year-4-Class-Teacher/en-GB,31187,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Lawrence View Primary and Nursery School,Education,Apprentice Teaching Assistant,Education & Training,"Lawrence View Primary and Nursery School, Eastwood",Broxtowe,2026-09-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31155-Apprentice-Teaching-Assistant/en-GB,31155,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Leas Park Junior School,Education,Cleaner,"Property, Facilities & Operations","Leas Park Junior School, Mansfield",Mansfield,2026-09-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31147-Cleaner/en-GB,31147,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Leas Park Junior School,Education,Midday Supervisor,Children & Young People,"Leas Park Junior School, Mansfield",Mansfield,2026-09-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31150-Midday-Supervisor/en-GB,31150,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Mansfield District Council,Council,Commissioning Manager - Design Services,Management & Leadership,Mansfield - Civic Centre,Mansfield,2026-09-27,,Permanent,Full-time,"£57,237 - £59,577 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=4128782IuI,REQ000657,2026-09-21,https://www.mansfield.gov.uk/jobs
Mansfield District Council,Council,Financial Inclusion Officer,Housing & Homelessness,Mansfield - Civic Centre,Mansfield,2026-09-27,,Permanent,Part-time,"£17,964 - £21,168 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=4128782IuI,REQ000655,2026-09-21,https://www.mansfield.gov.uk/jobs
Mansfield District Council,Council,Housing Management Officer,Housing & Homelessness,Mansfield,Mansfield,2026-09-27,,Other,Full-time,"£29,542 - £34,811 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=4128782IuI,,2026-09-21,https://www.mansfield.gov.uk/jobs
Mansfield District Council,Council,Principal Lawyer,Legal & Governance,Mansfield - Civic Centre,Mansfield,2026-09-27,,Permanent,Full-time,"£46,579 - £50,908 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=4128782IuI,,2026-09-21,https://www.mansfield.gov.uk/jobs
Mansfield District Council,Council,Theatre Technician,"Leisure, Sport & Culture","Palace Theatre, Mansfield",Mansfield,2026-09-27,,Permanent,Full-time,"£27,274 - £29,071 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=4128782IuI,,2026-09-21,https://www.mansfield.gov.uk/jobs
Mansfield District Council,Council,Public Space Assistant Manager,Management & Leadership,Mansfield,Mansfield,2026-10-04,,Permanent,Full-time,"£46,579 - £50,908 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=4128782IuI,REQ000663,2026-09-21,https://www.mansfield.gov.uk/jobs
Mansfield District Council,Council,Waste Services Assistant Manager,Management & Leadership,"Hermitage Lane Depot, Mansfield",Mansfield,2026-10-04,,Permanent,Full-time,"£46,579 - £50,908 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=4128782IuI,REQ000664,2026-09-21,https://www.mansfield.gov.uk/jobs
Mansfield Primary Academy,Education,Class Teacher (KS2),Education & Training,"Mansfield Primary Academy, Mansfield",Mansfield,2026-09-24,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31145-Class-Teacher-KS2/en-GB,31145,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Morven Park Primary School,Education,Site Manager,"Property, Facilities & Operations","Morven Park Primary School, Kirkby in Ashfield",Ashfield,2026-09-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31133-Site-Manager/en-GB,31133,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nettleworth Infant and Nursery School,Education,Early Years Foundation Stage Lead Teacher,Education & Training,"Nettleworth Infant and Nursery School, Mansfield",Mansfield,2026-09-29,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31157-Early-Years-Foundation-Stage-Lead-Teacher/en-GB,31157,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Newark and Sherwood District Council,Council,Planner - Policy,"Planning, Environment & Regulatory","Castle House, Great North Road, Newark",Newark & Sherwood,2026-09-25,,Permanent,Full-time,"£40,444 - £42,123 per annum",https://ce0799li.webitrent.com/ce0799li_webrecruitment/wrd/run/ETREC179GF.open?WVID=3373962BPM,REQ000561,2026-09-21,https://www.linkedin.com/company/newark-and-sherwood-district-council/
Newark and Sherwood District Council,Council,Principal Planner - Policy,"Planning, Environment & Regulatory","Castle House, Great North Road, Newark",Newark & Sherwood,2026-09-25,,Fixed-term,Full-time,"£46,579 - £48,738 per annum",https://ce0799li.webitrent.com/ce0799li_webrecruitment/wrd/run/ETREC179GF.open?WVID=3373962BPM,REQ000560,2026-09-21,https://www.linkedin.com/company/newark-and-sherwood-district-council/
Newark and Sherwood District Council,Council,Communications Officer,Community & Outreach,"Castle House, Great North Road, Newark",Newark & Sherwood,2026-09-27,,Fixed-term,Full-time,"£32,046 - £33,673 per annum",https://ce0799li.webitrent.com/ce0799li_webrecruitment/wrd/run/ETREC179GF.open?WVID=3373962BPM,,2026-09-21,https://www.linkedin.com/company/newark-and-sherwood-district-council/
Newark and Sherwood District Council,Council,Electrician,"Property, Facilities & Operations",Newark-on-Trent,Newark & Sherwood,2026-10-02,,Permanent,Full-time,"£30,953 - £32,746 per annum",https://ce0799li.webitrent.com/ce0799li_webrecruitment/wrd/run/ETREC179GF.open?WVID=3373962BPM,REQ000564,2026-09-21,https://www.linkedin.com/company/newark-and-sherwood-district-council/
Nottingham City Council,Council,Customer Services Advisor NCCHS,Customer Service,"Loxley House, Nottingham",Nottingham,2026-09-23,23:59,Permanent,Full-time,"£26,437 - £27,274 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8644,8644,2026-09-21,https://boroughjobs.co.uk/job/640944/customer-services-advisor-ncchs
Nottingham City Council,Council,Fair Access and Exclusions Officer,Education & Training,"Loxley House, Nottingham, NG2 3NG",Nottingham,2026-09-23,,Permanent,Full-time,"£29,542 - £32,046 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8338,8338,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Business Support Officer L3,Administration & Business Support,"Bulwell Riverside / Beaumont Street, Nottingham",Nottingham,2026-09-25,,Fixed-term,Full-time,"£27,709 - £28,608 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8558,8558,2026-09-21,https://boroughjobs.co.uk/job/641413/business-support-officer-l3
Nottingham City Council,Council,Casual Catering Assistant,"Property, Facilities & Operations",Various Nottingham City sites,Nottingham,2026-09-25,,Bank/Casual/Sessional,Variable/Sessional,£14.88 per hour,https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8565,8565,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Development Chef - Education & Commercial Catering,"Property, Facilities & Operations","Loxley House, Nottingham, NG2 3NG",Nottingham,2026-09-25,,Permanent,Full-time,"£42,123 - £45,529 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8219,8219,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Parking Engineer,Transport & Driving,"Trinity Square Car Parks, Nottingham, NG1 4AF",Nottingham,2026-09-25,,Permanent,Full-time,"£33,673 - £36,581 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8524,8524,2026-09-21,https://boroughjobs.co.uk/job/636991/parking-engineer
Nottingham City Council,Council,Processing and Enforcement Officer,"Planning, Environment & Regulatory","Byron House, Nottingham, NG1 6HS",Nottingham,2026-09-25,,Permanent,Full-time,"£27,709 - £28,608 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8237,8237,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Customer Service Centre Team Leader NCCHS,Customer Service,"Loxley House, Nottingham",Nottingham,2026-09-27,23:59,Permanent,Full-time,Grade G,https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8647,8647,2026-09-21,https://boroughjobs.co.uk/job/640955/customer-service-centre-team-leader-ncchs
Nottingham City Council,Council,Environmental Health Officer,"Planning, Environment & Regulatory","Byron House, Nottingham, NG1 6HS",Nottingham,2026-09-27,,Permanent,Full-time,"£42,123 - £45,529 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8571,8571,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Graduate Environmental Health Specialist,"Planning, Environment & Regulatory","Byron House, Nottingham, NG1 6HS",Nottingham,2026-09-27,,Fixed-term,Full-time,"£37,563 - £40,444 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8553,8553,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Joiner NCCHS,"Property, Facilities & Operations","Harvey Road, Nottingham, NG8 3BB",Nottingham,2026-09-27,23:59,Permanent,Full-time,"£37,562 - £40,444 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/jobs,,2026-09-21,https://www.jobijoba.co.uk/detail/92/c8435f97387292f834adba48b4e4df97
Nottingham City Council,Council,Technician (TRCH),"Leisure, Sport & Culture","Theatre Square, Nottingham, NG1 5ND",Nottingham,2026-09-27,,Permanent,Full-time,"£29,542 - £32,046 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8362,8362,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Waste and Cleansing HGV/LGV Driver,Transport & Driving,"London Road, Nottingham, NG2 3AH",Nottingham,2026-09-27,,Permanent,Full-time,"£29,542 - £32,046 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8494,8494,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,CAMHS Practitioner Level 2,Health & Clinical,"Loxley House, Nottingham, NG2 3NG",Nottingham,2026-09-28,,Fixed-term,Full-time,"£37,563 - £40,444 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8310,8310,2026-09-21,https://boroughjobs.co.uk/job/638929/camhs-practitioner-level-2
Nottingham City Council,Council,Coroners Officer,Legal & Governance,"The Council House, Nottingham, NG1 2DT",Nottingham,2026-09-28,,Permanent,Full-time,"£29,542 - £32,046",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8563,8563,2026-09-21,https://boroughjobs.co.uk/job/638508/coroners-officer
